epoch,step,train_loss,val_loss
0,140,,0.008777951821684837
0,140,0.015678727999329567,
1,281,,0.009574475698173046
1,281,0.00939189177006483,
2,422,,0.0068697878159582615
2,422,0.007947488687932491,
3,563,,0.005704920273274183
3,563,0.006934605538845062,
4,704,,0.006381263490766287
4,704,0.006321037653833628,
5,845,,0.004408718552440405
5,845,0.005652919411659241,
6,986,,0.005764007102698088
6,986,0.004843728616833687,
7,1127,,0.004943373613059521
7,1127,0.005051043350249529,
8,1268,,0.004651826340705156
8,1268,0.004097970202565193,
9,1409,,0.004166702274233103
9,1409,0.00415718462318182,
10,1550,,0.0037418981082737446
10,1550,0.003795497352257371,
11,1691,,0.0034295523073524237
11,1691,0.0034635760821402073,
12,1832,,0.003227812238037586
12,1832,0.0035541628021746874,
13,1973,,0.003113697748631239
13,1973,0.0032261337619274855,
14,2114,,0.003420360153540969
14,2114,0.00294728996232152,
15,2255,,0.0033149539958685637
15,2255,0.0030112043023109436,
16,2396,,0.0030273329466581345
16,2396,0.0028198915533721447,
17,2537,,0.00301252375356853
17,2537,0.002871620934456587,
18,2678,,0.0026767628733068705
18,2678,0.0026724557392299175,
19,2819,,0.002583966823294759
19,2819,0.0023270940873771906,
20,2960,,0.0028718484099954367
20,2960,0.0023574423976242542,
21,3101,,0.0021843435242772102
21,3101,0.0023478763177990913,
22,3242,,0.002465574536472559
22,3242,0.002220181282609701,
23,3383,,0.0026908309664577246
23,3383,0.002272340701892972,
24,3524,,0.0024955766275525093
24,3524,0.0023322070483118296,
25,3665,,0.0022313655354082584
25,3665,0.0022280279081314802,
26,3806,,0.002280506771057844
26,3806,0.0019476645393297076,
